,seed,model,rmsd_gr,rmsd_i2,rank,plddt,trial,scale,asp,phe
175,54,4,2.432988882,18.50783539,16,89.7,Abl1 M290L,256:512 Second Replicate,62.66734695,62.66734695
176,60,4,2.341932058,18.49752808,17,89.7,Abl1 M290L,256:512 Second Replicate,61.02805328,61.02805328
177,39,4,2.35791254,18.54037857,18,89.7,Abl1 M290L,256:512 Second Replicate,63.2179718,63.2179718
178,38,2,2.301071882,18.53429031,19,89.7,Abl1 M290L,256:512 Second Replicate,61.88169098,61.88169098
179,34,5,2.348213434,18.52619934,20,89.6,Abl1 M290L,256:512 Second Replicate,34.64994812,34.64994812
180,55,4,2.259276867,18.50788498,21,89.4,Abl1 M290L,256:512 Second Replicate,60.44841766,60.44841766
181,37,4,2.325485706,18.46635818,22,89.4,Abl1 M290L,256:512 Second Replicate,63.60587692,63.60587692
182,61,4,2.34210062,18.52497292,23,89.3,Abl1 M290L,256:512 Second Replicate,60.77703094,60.77703094
183,36,4,2.328568697,18.51620674,24,89.2,Abl1 M290L,256:512 Second Replicate,62.22499084,62.22499084
184,46,4,2.343751669,18.48296356,25,89.2,Abl1 M290L,256:512 Second Replicate,61.605793,61.605793
185,41,4,2.234288454,18.50240898,26,89.2,Abl1 M290L,256:512 Second Replicate,62.84552765,62.84552765
186,32,4,2.288221836,18.42884254,27,89.2,Abl1 M290L,256:512 Second Replicate,59.74039459,59.74039459
187,47,2,2.306470871,18.49940491,28,89.1,Abl1 M290L,256:512 Second Replicate,60.54472351,60.54472351
188,52,2,2.305314302,18.45834351,29,89.1,Abl1 M290L,256:512 Second Replicate,59.29328156,59.29328156
189,52,3,2.319861889,18.28759003,30,89.1,Abl1 M290L,256:512 Second Replicate,54.26026535,54.26026535
190,62,5,2.35284543,18.61977768,31,89.1,Abl1 M290L,256:512 Second Replicate,35.9761467,35.9761467
191,52,1,2.311938286,18.34611702,32,89,Abl1 M290L,256:512 Second Replicate,59.05096054,59.05096054
192,35,5,2.399994612,18.52606964,33,89,Abl1 M290L,256:512 Second Replicate,36.24714661,36.24714661
193,50,5,2.297413349,18.47003555,34,89,Abl1 M290L,256:512 Second Replicate,32.43568039,32.43568039
194,41,2,2.32288003,18.45271873,35,89,Abl1 M290L,256:512 Second Replicate,63.45152664,63.45152664
195,33,2,2.313587189,18.50727654,36,89,Abl1 M290L,256:512 Second Replicate,64.65700531,64.65700531
196,51,2,2.373449087,18.48140144,37,89,Abl1 M290L,256:512 Second Replicate,63.09812927,63.09812927
197,50,2,2.366847754,18.44211578,38,89,Abl1 M290L,256:512 Second Replicate,58.85990143,58.85990143
198,42,5,2.404318094,18.54393005,39,88.9,Abl1 M290L,256:512 Second Replicate,33.00371933,33.00371933
199,47,4,2.347788572,18.51338959,40,88.8,Abl1 M290L,256:512 Second Replicate,61.38607788,61.38607788
200,54,2,2.49824357,18.57777214,41,88.8,Abl1 M290L,256:512 Second Replicate,60.64896393,60.64896393
201,56,4,2.428770781,18.51197243,42,88.8,Abl1 M290L,256:512 Second Replicate,62.66098785,62.66098785
202,36,2,2.307106256,18.5073452,43,88.8,Abl1 M290L,256:512 Second Replicate,62.3399086,62.3399086
203,32,2,2.26976037,18.49320984,44,88.8,Abl1 M290L,256:512 Second Replicate,61.77640915,61.77640915
204,38,5,2.253490686,18.4781456,45,88.8,Abl1 M290L,256:512 Second Replicate,35.04536057,35.04536057
205,45,2,2.347573996,18.53513336,46,88.6,Abl1 M290L,256:512 Second Replicate,57.73228836,57.73228836
206,50,3,2.431505203,18.38020134,47,88.6,Abl1 M290L,256:512 Second Replicate,54.33802414,54.33802414
207,48,3,2.401557684,18.29971886,48,88.6,Abl1 M290L,256:512 Second Replicate,53.79853821,53.79853821
208,59,4,2.293334246,18.46028328,49,88.6,Abl1 M290L,256:512 Second Replicate,62.88014984,62.88014984
209,48,5,2.348650694,18.3871994,50,88.6,Abl1 M290L,256:512 Second Replicate,32.41308212,32.41308212
210,36,1,2.404460669,18.41489601,51,88.6,Abl1 M290L,256:512 Second Replicate,61.41065598,61.41065598
211,37,2,2.319598913,18.41889381,52,88.6,Abl1 M290L,256:512 Second Replicate,65.59348297,65.59348297
212,49,2,2.303614616,18.52564049,53,88.6,Abl1 M290L,256:512 Second Replicate,61.00632095,61.00632095
213,57,2,2.33915019,18.49734497,54,88.5,Abl1 M290L,256:512 Second Replicate,61.47605896,61.47605896
214,61,2,2.378367901,18.58324242,55,88.5,Abl1 M290L,256:512 Second Replicate,61.58311081,61.58311081
215,43,4,2.410169363,18.61806488,56,88.5,Abl1 M290L,256:512 Second Replicate,62.20258713,62.20258713
216,63,2,2.3371315,18.44629288,57,88.5,Abl1 M290L,256:512 Second Replicate,60.08172989,60.08172989
217,36,5,2.24480176,18.48213005,58,88.5,Abl1 M290L,256:512 Second Replicate,35.35709763,35.35709763
218,60,5,2.424296379,18.51486015,59,88.5,Abl1 M290L,256:512 Second Replicate,34.14729691,34.14729691
219,42,2,2.353559971,18.41322899,60,88.4,Abl1 M290L,256:512 Second Replicate,60.32315063,60.32315063
220,46,2,2.424040318,18.50068855,61,88.4,Abl1 M290L,256:512 Second Replicate,60.38835144,60.38835144
221,46,1,2.395770788,18.42572021,62,88.4,Abl1 M290L,256:512 Second Replicate,57.87795258,57.87795258
222,53,2,2.3671875,18.51699066,63,88.4,Abl1 M290L,256:512 Second Replicate,61.28821564,61.28821564
223,55,2,2.380563974,18.51176643,64,88.4,Abl1 M290L,256:512 Second Replicate,59.52391052,59.52391052
224,32,3,2.331479788,18.33370018,65,88.4,Abl1 M290L,256:512 Second Replicate,55.4758873,55.4758873
225,62,1,2.321505308,18.55496979,66,88.4,Abl1 M290L,256:512 Second Replicate,62.31151581,62.31151581
226,33,5,2.252026558,18.5143013,67,88.4,Abl1 M290L,256:512 Second Replicate,36.08338547,36.08338547
227,45,3,2.405076027,18.36166954,68,88.4,Abl1 M290L,256:512 Second Replicate,51.92496109,51.92496109
228,33,3,2.340695858,18.35147095,69,88.4,Abl1 M290L,256:512 Second Replicate,59.40110397,59.40110397
229,54,5,2.456965446,18.56881332,70,88.3,Abl1 M290L,256:512 Second Replicate,35.17850494,35.17850494
230,34,2,2.344711542,18.46914291,71,88.3,Abl1 M290L,256:512 Second Replicate,62.07839966,62.07839966
231,62,4,2.524819613,18.64166832,72,88.3,Abl1 M290L,256:512 Second Replicate,62.26419449,62.26419449
