,seed,model,rmsd_gr,rmsd_i2,rank,plddt,trial,scale,asp,phe
151,11,3,1.712408543,16.165905,152,89.6,Src,256:512 First Replicate,49.10776138,-140.8854675
152,18,3,4.854584217,15.13583374,153,89.6,Src,256:512 First Replicate,46.94133377,-146.0181885
153,23,3,5.047805786,15.30662918,154,89.5,Src,256:512 First Replicate,34.52962875,-145.2684631
154,21,3,2.45303607,16.00120735,155,89.5,Src,256:512 First Replicate,47.49744034,-140.8344574
155,2,1,1.925723076,16.48215294,156,89.3,Src,256:512 First Replicate,48.25744629,-141.9875641
156,12,3,2.051973104,16.27505493,157,89.3,Src,256:512 First Replicate,46.96586227,-144.6828613
157,3,3,9.136255264,14.39410591,158,89.3,Src,256:512 First Replicate,48.86888504,-144.931366
158,29,3,4.790411472,14.88013744,159,89.2,Src,256:512 First Replicate,50.00067902,-143.9760132
159,6,3,7.981162548,15.0514183,160,89.2,Src,256:512 First Replicate,24.66503716,-145.4125214
160,85,4,0,16.82228851,1,93.5,Src,256:512 Second Replicate,53.9681778,-141.3097076
161,79,4,0.244851202,16.80268288,2,93.3,Src,256:512 Second Replicate,55.01102829,-141.3754883
162,85,2,0.188899353,16.95344162,3,93.2,Src,256:512 Second Replicate,52.20123672,-142.0602264
163,64,4,0.365008384,16.71486473,4,92.9,Src,256:512 Second Replicate,53.18564606,-140.5233459
164,94,2,0.268949032,16.90723801,5,92.8,Src,256:512 Second Replicate,53.54508209,-140.2709656
165,90,2,0.450985104,16.86313629,6,92.6,Src,256:512 Second Replicate,54.16834641,-139.0934906
166,66,4,0.469720453,16.63988304,7,92.6,Src,256:512 Second Replicate,52.4961319,-143.9540863
167,74,4,0.310479283,16.7076416,8,92.6,Src,256:512 Second Replicate,52.37594986,-144.9492493
168,93,4,0.290858269,16.78299713,9,92.5,Src,256:512 Second Replicate,53.95323181,-140.6062164
169,90,4,0.267350018,16.73236084,10,92.4,Src,256:512 Second Replicate,54.23951721,-141.013855
170,89,4,0.38510865,16.77770996,11,92.4,Src,256:512 Second Replicate,54.11812592,-139.7808533
171,92,2,0.318665564,16.89102173,12,92.4,Src,256:512 Second Replicate,56.08525848,-139.6410828
172,91,2,0.243641332,16.93105888,13,92.3,Src,256:512 Second Replicate,55.71739578,-138.1103058
173,94,4,0.430340499,16.68680763,14,92.2,Src,256:512 Second Replicate,53.48346329,-141.9710846
174,95,2,0.333397537,16.83424377,15,92.2,Src,256:512 Second Replicate,54.25420761,-141.46698
175,79,2,0.294190198,16.88657379,16,92.2,Src,256:512 Second Replicate,52.88742447,-140.1914978
176,83,4,0.269562989,16.7856884,17,92.1,Src,256:512 Second Replicate,53.42283249,-144.3441162
177,71,4,0.518106878,16.72236824,18,92.1,Src,256:512 Second Replicate,54.8577652,-140.0497284
178,73,2,0.37434876,16.82092667,19,92.1,Src,256:512 Second Replicate,54.34306335,-139.7402039
179,64,2,0.392633617,16.82616997,20,92,Src,256:512 Second Replicate,52.09682083,-141.5968018
180,92,4,0.512878716,16.6696682,21,92,Src,256:512 Second Replicate,53.88114166,-141.3041687
181,78,4,0.541799426,16.67225075,22,91.9,Src,256:512 Second Replicate,53.84321976,-142.0679626
182,95,4,0.723098516,16.61693954,23,91.9,Src,256:512 Second Replicate,55.21197128,-141.6471863
183,84,4,0.332401991,16.82006836,24,91.9,Src,256:512 Second Replicate,55.14421844,-139.3270111
184,65,4,0.481407732,16.77038574,25,91.9,Src,256:512 Second Replicate,52.54916763,-141.5388641
185,91,4,0.630236089,16.62740517,26,91.8,Src,256:512 Second Replicate,55.5487175,-140.7618866
186,71,2,0.345626056,16.88309669,27,91.8,Src,256:512 Second Replicate,50.28607941,-142.6343384
187,65,2,0.571756303,16.86365128,28,91.7,Src,256:512 Second Replicate,51.28190613,-142.8233795
188,71,1,0.545004249,16.85445023,29,91.7,Src,256:512 Second Replicate,52.76333618,-141.1851807
189,94,5,0.388318449,16.78661346,30,91.6,Src,256:512 Second Replicate,28.93372726,-141.6771698
190,77,4,0.72289741,16.65973663,31,91.6,Src,256:512 Second Replicate,50.79353714,-140.4814453
191,80,2,0.29424566,16.88448715,32,91.6,Src,256:512 Second Replicate,53.91960526,-140.9105072
192,66,2,0.529650748,16.69539452,33,91.6,Src,256:512 Second Replicate,51.57335281,-141.7135315
193,74,2,0.675674498,16.78133965,34,91.6,Src,256:512 Second Replicate,54.2299118,-143.4266968
194,64,1,0.717194259,16.7391243,35,91.6,Src,256:512 Second Replicate,51.41902161,-141.5838165
195,73,4,0.79690057,16.51041794,36,91.6,Src,256:512 Second Replicate,54.5491333,-140.0094604
196,89,2,1.733523965,16.80975151,37,91.6,Src,256:512 Second Replicate,55.56919861,-140.5994873
197,76,4,0.879385531,16.75632286,38,91.6,Src,256:512 Second Replicate,52.11463165,-141.5394745
198,91,5,0.455462009,16.71305847,39,91.6,Src,256:512 Second Replicate,30.66372108,-139.0778961
199,78,2,0.622807205,16.77329254,40,91.5,Src,256:512 Second Replicate,52.6218605,-140.5283051
200,72,4,3.339741707,15.66534424,41,91.5,Src,256:512 Second Replicate,55.00683975,-139.9573059
201,81,4,0.969941676,16.64590073,42,91.5,Src,256:512 Second Replicate,53.38813019,-141.079483
202,72,1,0.674268007,16.76973724,43,91.5,Src,256:512 Second Replicate,54.06541824,-138.3423462
203,79,5,0.621874332,16.82875824,44,91.5,Src,256:512 Second Replicate,29.32139015,-140.5404205
204,89,5,0.691697717,16.74831009,45,91.5,Src,256:512 Second Replicate,27.92962456,-139.954895
205,67,4,0.613779008,16.59501648,46,91.4,Src,256:512 Second Replicate,54.12581253,-140.9191742
206,75,4,0.851543665,16.63518906,47,91.4,Src,256:512 Second Replicate,52.15773773,-143.460144
207,92,1,0.685683668,16.80803299,48,91.4,Src,256:512 Second Replicate,53.18652344,-142.653183
208,69,4,1.561474323,16.51065254,49,91.4,Src,256:512 Second Replicate,51.70641327,-141.4609985
209,69,2,0.810048342,16.87786674,50,91.4,Src,256:512 Second Replicate,54.05799484,-138.9732513
210,67,2,0.562408626,16.69162369,51,91.4,Src,256:512 Second Replicate,50.12270355,-141.3516693
211,86,4,0.812504768,16.70907211,52,91.3,Src,256:512 Second Replicate,54.06346512,-140.5093384
212,80,4,0.93345511,16.55534744,53,91.3,Src,256:512 Second Replicate,55.15049744,-141.1998138
213,87,4,0.666169822,16.69078636,54,91.3,Src,256:512 Second Replicate,51.99823761,-143.8215485
214,75,2,0.601305783,16.7827549,55,91.2,Src,256:512 Second Replicate,50.27790451,-141.908493
215,72,2,1.07526648,16.86233711,56,91.2,Src,256:512 Second Replicate,54.8865242,-138.0295105
216,70,4,1.520938635,16.45682526,57,91.2,Src,256:512 Second Replicate,53.29046249,-141.483551
217,83,1,0.514130831,16.83423805,58,91.2,Src,256:512 Second Replicate,52.30455017,-143.7145538
218,82,2,0.763500094,16.72139168,59,91.2,Src,256:512 Second Replicate,53.15808105,-140.4753265
219,80,5,0.788832664,16.68200493,60,91.2,Src,256:512 Second Replicate,30.50324631,-138.2785034
220,77,1,0.584583342,16.73289108,61,91.2,Src,256:512 Second Replicate,50.96956253,-140.293869
221,72,5,2.984463215,16.12565994,62,91.2,Src,256:512 Second Replicate,29.08616638,-139.2605896
222,70,2,2.184391022,16.64645958,63,91.2,Src,256:512 Second Replicate,54.0243187,-141.2763519
223,95,5,0.64999634,16.80043221,64,91.2,Src,256:512 Second Replicate,31.9182663,-139.5101318
224,83,2,0.497971803,16.87063408,65,91.2,Src,256:512 Second Replicate,52.46512985,-142.9499054
225,88,2,0.463449776,16.80344391,66,91.1,Src,256:512 Second Replicate,50.81991196,-143.4473572
226,93,2,0.639409542,16.86297417,67,91.1,Src,256:512 Second Replicate,50.29841614,-141.6983795
227,82,4,2.04684782,16.2066021,68,91.1,Src,256:512 Second Replicate,50.55560684,-141.5333557
228,65,1,0.676571488,16.79995918,69,91.1,Src,256:512 Second Replicate,50.62387085,-143.4983368
229,85,5,0.455366105,16.76245117,70,91.1,Src,256:512 Second Replicate,28.21163559,-141.1127777
230,71,5,0.563682437,16.79336166,71,91.1,Src,256:512 Second Replicate,26.86725044,-141.0802002
231,66,1,0.652968884,16.58734703,72,91,Src,256:512 Second Replicate,50.62746429,-141.4702301
232,64,5,0.478814065,16.70735168,73,91,Src,256:512 Second Replicate,26.6344223,-141.8948517
233,94,1,0.479650021,16.76140976,74,90.9,Src,256:512 Second Replicate,50.28404617,-143.5405731
234,76,2,1.637480617,16.91461372,75,90.9,Src,256:512 Second Replicate,51.48643875,-142.4133148
235,91,1,0.652631879,16.66604424,76,90.9,Src,256:512 Second Replicate,50.7939415,-141.1576233
236,90,1,0.607128918,16.72720146,77,90.9,Src,256:512 Second Replicate,52.22848511,-141.2449188
237,77,5,0.989899635,16.67789268,78,90.8,Src,256:512 Second Replicate,26.8404808,-143.1420441
238,94,3,0.719605207,16.5601368,79,90.8,Src,256:512 Second Replicate,49.65013504,-143.2150421
239,81,2,0.711711228,16.65601349,80,90.8,Src,256:512 Second Replicate,51.63630295,-141.5525818
240,87,2,0.798677146,16.75182724,81,90.8,Src,256:512 Second Replicate,53.85771179,-139.8430328
241,70,1,0.77129674,16.61459351,82,90.8,Src,256:512 Second Replicate,50.55607605,-140.93396
242,88,4,1.810779095,16.31358719,83,90.8,Src,256:512 Second Replicate,51.97253418,-142.9157104
243,75,5,1.223940372,16.71086693,84,90.8,Src,256:512 Second Replicate,25.89275169,-143.7958374
244,95,1,0.870515764,16.74808693,85,90.7,Src,256:512 Second Replicate,52.33172607,-144.1302185
245,84,1,0.628287435,16.76107979,86,90.7,Src,256:512 Second Replicate,55.07046127,-138.5025177
246,84,2,1.834856153,16.90056038,87,90.7,Src,256:512 Second Replicate,53.78201294,-140.24263
247,73,5,1.220276952,16.53204346,88,90.6,Src,256:512 Second Replicate,30.16190338,-139.0859833
248,68,4,2.370256901,16.47370338,89,90.6,Src,256:512 Second Replicate,45.39624023,-143.1731262
249,76,5,2.036478281,16.76101685,90,90.6,Src,256:512 Second Replicate,26.0448513,-142.7878571
250,69,1,1.197679877,16.85899544,91,90.6,Src,256:512 Second Replicate,51.11731339,-141.136795
251,93,5,1.433646321,16.69237518,92,90.6,Src,256:512 Second Replicate,26.17032433,-144.9492645
252,87,1,0.812732756,16.7264595,93,90.6,Src,256:512 Second Replicate,50.26486206,-142.1044769
253,82,1,0.986187756,16.5624218,94,90.6,Src,256:512 Second Replicate,50.50159454,-142.3519897
254,79,1,0.555579424,16.68566704,95,90.6,Src,256:512 Second Replicate,49.53393555,-141.8457336
255,93,1,0.941322863,16.68094635,96,90.6,Src,256:512 Second Replicate,49.12523651,-142.9373932
256,86,2,2.167495966,16.84818459,97,90.6,Src,256:512 Second Replicate,53.94866562,-141.5684357
257,67,5,1.532021523,16.43236542,98,90.5,Src,256:512 Second Replicate,28.80963516,-142.1952362
258,83,5,1.145762801,16.72323608,99,90.5,Src,256:512 Second Replicate,27.41102982,-142.7541504
259,74,5,2.217466354,16.21580124,100,90.5,Src,256:512 Second Replicate,28.43271065,-142.8751373
260,77,2,1.857370257,16.73564529,101,90.5,Src,256:512 Second Replicate,49.76158142,-142.1346741
261,81,5,3.159651279,16.25043106,102,90.4,Src,256:512 Second Replicate,26.74708366,-143.7642059
262,90,5,0.735643387,16.6905117,103,90.4,Src,256:512 Second Replicate,25.63578987,-141.4983978
263,89,1,1.547808409,16.41972542,104,90.4,Src,256:512 Second Replicate,54.11653519,-141.1161346
264,87,5,1.019341946,16.77228737,105,90.4,Src,256:512 Second Replicate,27.98906136,-144.7492523
265,70,5,2.99744606,15.92107201,106,90.4,Src,256:512 Second Replicate,25.96828842,-141.9586182
266,68,2,1.219635725,16.6538353,107,90.4,Src,256:512 Second Replicate,50.36245346,-141.4667053
